subject,n,accuracy,f1_macro
S10,60,0.7666666666666667,0.6888888888888889
S11,59,0.9830508474576272,0.9817054263565892
S13,59,0.7288135593220338,0.728735632183908
S14,59,0.9661016949152542,0.963032581453634
S15,59,0.7627118644067796,0.6998546511627908
S16,57,1.0,1.0
S17,61,0.9508196721311475,0.9488398098965614
S2,55,0.8545454545454545,0.8237179487179487
S3,56,0.9642857142857143,0.961111111111111
S4,56,1.0,1.0
S5,58,0.9655172413793104,0.9626769626769627
S6,57,0.9649122807017544,0.9623015873015872
S7,57,0.9298245614035088,0.9246031746031746
S8,58,1.0,1.0
S9,58,0.8448275862068966,0.8214163530619227
