subject,n,accuracy,f1_macro
S10,71,0.5070422535211268,0.5076832151300236
S11,70,0.9571428571428572,0.95665710108831
S13,70,0.7285714285714285,0.68702358532867
S14,70,0.9,0.8339385136770758
S15,70,0.6142857142857143,0.5226871893538559
S16,68,0.5882352941176471,0.5934664246823956
S17,72,0.6388888888888888,0.5779524453459545
S2,66,0.5909090909090909,0.3358070500927644
S3,67,0.6716417910447762,0.6813537675606641
S4,67,0.835820895522388,0.6737720111214087
S5,69,0.43478260869565216,0.4450049040212975
S6,68,0.8676470588235294,0.762962962962963
S7,68,0.4411764705882353,0.4198462613556953
S8,68,0.7205882352941176,0.6273319044216877
S9,68,0.5588235294117647,0.5645372645372646
